"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"72","10,000 Hours (with Justin Bieber)",83,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,FALSE,"Top Hits of 2019"
"73","boyfriend (with Social House)",77,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186106,TRUE,"Top Hits of 2019"
"74","Circles",87,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,FALSE,"Top Hits of 2019"
"75","lovely (with Khalid)",87,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200185,FALSE,"Top Hits of 2019"
"76","So Am I",30,0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,183026,FALSE,"Top Hits of 2019"
"77","Liar",68,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207038,FALSE,"Top Hits of 2019"
"78","Kill This Love",76,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,FALSE,"Top Hits of 2019"
"79","Happier",83,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214289,FALSE,"Top Hits of 2019"
"80","Don't Call Me Up",79,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,FALSE,"Top Hits of 2019"
"81","Let Me Down Slowly",82,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169353,FALSE,"Top Hits of 2019"
"82","break up with your girlfriend, i'm bored",78,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,TRUE,"Top Hits of 2019"
"83","Eastside (with Halsey & Khalid)",72,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170769,FALSE,"Top Hits of 2019"
"84","Here With Me",75,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156346,FALSE,"Top Hits of 2019"
"85","Sweet but Psycho",36,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,FALSE,"Top Hits of 2019"
"86","You Need To Calm Down",78,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,FALSE,"Top Hits of 2019"
