"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"1195",0.731,0.563,-4.046,1,0.131,0.00042,0.452,184.009,240426,FALSE,54,"Clumsy","D","2006-01-01","major","D major"
"1196",0.564,0.863,-3.835,1,0.0614,0,0.864,155.149,175906,FALSE,55,"Heartbeat","D","2007","major","D major"
"1197",0.458,0.703,-6.22,1,0.0362,3.13e-06,0.17,110.017,239320,FALSE,58,"Greatest Day","C#","2008-01-01","major","C# major"
"1198",0.767,0.881,-3.988,1,0.0301,0.000139,0.961,130.018,209800,FALSE,62,"Cry for You","A","2007-03-08","major","A major"
"1199",0.654,0.884,-5.466,1,0.202,0.000268,0.851,124.072,190973,FALSE,48,"Wow","A","2007-11-21","major","A major"
"1200",0.729,0.658,-3.386,0,0.225,0,0.551,140.043,250666,FALSE,67,"Kiss Kiss (feat. T-Pain)","A#","2007-11-06","minor","A# minor"
"1201",0.584,0.7,-4.251,1,0.0506,2.43e-05,0.549,163.953,234173,FALSE,67,"Better in Time","F#","2007","major","F# major"
"1202",0.653,0.604,-6.017,1,0.0278,0,0.101,118.016,184400,FALSE,71,"Apologize","G#","2007-01-01","major","G# major"
"1203",0.57,0.717,-4.914,1,0.029,0,0.321,111.91,250453,FALSE,70,"Broken Strings","C#","2008-01-01","major","C# major"
"1204",0.52,0.743,-3.263,1,0.0513,0,0.677,155.142,229893,FALSE,54,"Elvis Ain't Dead","G#","2007","major","G# major"
"1205",0.605,0.629,-5.051,1,0.0279,0,0.308,99.894,241373,FALSE,63,"The Man Who Can't Be Moved","A#","2008-07-14","major","A# major"
"1206",0.769,0.638,-5.054,1,0.216,0,0.782,115.007,212106,FALSE,63,"Piece of Me","B","2007-10-25","major","B major"
"1207",0.575,0.684,-6.007,1,0.325,0,0.926,172.155,204040,TRUE,16,"Sexy Can I feat. Yung Berg","C#","2008-04-08","major","C# major"
"1208",0.774,0.653,-5.158,0,0.05,0,0.818,120.01,244266,FALSE,55,"Damaged","G#","2008-03-17","minor","G# minor"
"1209",0.639,0.976,-5.503,1,0.354,0,0.354,147.99,148186,FALSE,56,"Now You're Gone - Video Edit","C#","2008-01-15","major","C# major"
"1210",0.736,0.74,-2.18,1,0.0786,0,0.803,140.141,221933,FALSE,74,"Crank That (Soulja Boy)","C","2007-01-01","major","C major"
"1211",0.632,0.972,-2.423,0,0.121,7.74e-05,0.845,87,210680,FALSE,50,"The Boy Does Nothing","D#","2008-11-24","minor","D# minor"
"1212",0.414,0.425,-6.211,0,0.025,0,0.0943,91.284,217826,FALSE,62,"Hallelujah","D","2009","minor","D minor"
